# wave sed
1897.85 0.05851551522930774
1930.91 0.05010008746395042
1964.07 0.03592758337586158
1997.32 0.03088190818676921
2030.33 0.03585954356001432
2063.75 0.039667032587001314
2096.63 0.030600705925521575
2130.04 0.023603490780588637
2162.97 0.03095081264334824
2196.23 0.04455119523346138
2229.34 0.04670242053461875
2262.47 0.039311078512001094
2295.73 0.03810268484261094
2328.74 0.049180963377220346
2362.16 0.06299398900117414
2395.05 0.07261694456816378
2428.4 0.08362403439465425
2461.39 0.08142310677312396
2494.62 0.07603521817747268
2527.75 0.07556745709354787
2560.87 0.07916722108368686
2594.14 0.08183101428135922
2627.15 0.0818206291429605
2660.56 0.08185743320702699
2693.46 0.08795081584032914
2726.77 0.094448349582724
2759.8 0.09594876245085257
2793.0 0.09570499224747278
2826.16 0.09769187353468826
